,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,F10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,F11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,F12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,G12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A01,FAM,,Unkn,,,19.414208597275,19.414208597275,0,NaN,NaN,NaN,0,58,
,A02,FAM,,Unkn,,,19.1760187901531,19.1760187901531,0,NaN,NaN,NaN,0,58,
,A03,FAM,,Unkn,,,19.1705005624492,19.1705005624492,0,NaN,NaN,NaN,0,58,
,A04,FAM,,Unkn,,,19.4976766948738,19.4976766948738,0,NaN,NaN,NaN,0,58,
,A05,FAM,,Unkn,,,19.4496614137791,19.4496614137791,0,NaN,NaN,NaN,0,58,
,A06,FAM,,Unkn,,,19.2177260139868,19.2177260139868,0,NaN,NaN,NaN,0,58,
,A07,FAM,,Unkn,,,19.3167370212991,19.3167370212991,0,NaN,NaN,NaN,0,58,
,A08,FAM,,Unkn,,,19.3669800928873,19.3669800928873,0,NaN,NaN,NaN,0,58,
